Job Title,Median Salary Estimate,Job Description,Company Name,Location,Size,Type of ownership,Industry
"Sr. Business Analyst, Data Science and Analytics",40000.0,"One by one, we are leading a movement to a future where all beauty is clean beauty. We are powered by people, and our collective mission is to get safer products into the hands of everyone. Formulate, advocate & educate- that's our motto for creating products that truly perform while holding ourselves to unparalleled standards of safety.

Why?
It's really this simple: Beauty should be good for you.

Beautycounter is looking for a Sr. Business Analyst to join the Data Science and Analytics team. A successful candidate will be someone who loves working with data and will go one layer deep to uncover insights and drive action.

In this role you will:
Use technical skills to perform EDA to uncover trends and insights on robust volumes of data.
Provide recommendations to the business and share analysis with multi-functional teams ranging from executives to analysts
Build dashboards for both technical and nontechnical users to measure the impact and efficiency of the business
Design, develop, and maintain ongoing metrics, reports, analyses, dashboards, etc. to drive key business decisions
The ideal candidate will possess:
Bachelors degree in Computer Science, Mathematics, Statistics, Finance, related technical field, or equivalent work experience.
3-5 years of years of relevant work experience in analytics, data engineering, business intelligence, market research or related field, and 5-7 years professional experience
Strong SQL/Excel skills
Tableau/Looker skills preferred
R or Python skills preferred
At Beautycounter we are committed to creating a diverse environment and are proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status.","Beautycounter
3.0","Santa Monica, CA",201 to 500 employees,Company - Private,"Health, Beauty, & Fitness"
Healthcare Data Analyst - Remote,63000.0,"Overview

About Pulse8, Inc.

Pulse8 is an innovative Healthcare Analytics and Technology Company that delivers visibility and transparency for Risk Adjustment and Quality Management programs. We enable health plans and at-risk providers to achieve the greatest financial impact in the Health Insurance Exchange (HIX), Medicare Advantage, and Medicaid markets. By combining advanced analytic methodologies with extensive health plan experience, Pulse8 has developed a suite of uniquely pragmatic solutions that are revolutionizing risk adjustment. Pulse8's flexible business intelligence tools offer real-time visibility into member and provider activities so our clients can apply the most cost-effective and appropriate interventions for closing gaps in documentation, coding, and quality.

What's cool about working for Pulse8? We're a close-knit team of Healthcare and Technology experts dedicated to helping people live longer, healthier lives. You'll get to help us design and build innovative solutions from the ground up and have the opportunity to do lots of interesting things in an entrepreneurial culture. We offer competitive benefits and much, much more!

Position Description

Healthcare Data Analyst will assist our team of data scientists, researchers, risk adjustment experts, and developers in implementation support, leading business cases for algorithm development and improvement, researching customer queries of analytics performance, creating requirements for new analytics and data products, and working in tandem with our data teams in executing these requirements.

This is a remote position.

Responsibilities
Developing business cases and requirements for new products and current product enhancements
Leading customer requests for ad hoc reporting or research
Owning customer financial improvement modeling and engaging directly with current or new customers to update models
Leading research initiatives to monitor Pulse8's algorithm performance over time and recommend future enhancements
Collaborate with Pulse8 clinicians in outcomes, algorithm performance, and new product development
Develop customer presentations and reporting enhancements to streamline Pulse8 operations and support processes
Provide data support and subject matter expertise knowledge during implementation phase of customer onboarding
Qualifications

Academic and Professional Qualifications:
Bachelor's degree in a related field of study
4 to 6 years of experience analyzing and interpreting health care data
Experience supporting the development of scalable analytic and reporting solutions
Experience:

Minimum Essential Knowledge / Skills:
4 to 6 years of experience analyzing and interpreting health care data
Experience supporting the development of scalable analytic and reporting solutions
Prior experience in healthcare industry specifically Medicaid
Experience with financial or operational modeling and concepts
Experience or degree in statistics, mathematics, finance, operational reporting or similar analytic field
Experience interacting with large amounts of healthcare data
Experience working with clinical classification systems like CDPS,CRG,ACG,ERG
Experience with SQL or SAS
Working knowledge of statistics with ability/interest to become proficient
Proven technical, analytical and problem solving
Strong written and verbal communication
Professional and interpersonal
Self-initiative and leadership
Ability to work within a team environment
Ability to interface with both external and internal personnel at all levels
Desired Skills:
Experience with Risk Adjustment models specifically Medicaid focused
Medicaid business analytics experience
Experience with business intelligence tools
Travel requirements:
No to minimal travel
Will travel to Annapolis, MD for new hire orientation and then all Pulse 8 employees attend two company summits per year in various locations.
Working arrangements:
Monday through Friday or as defined by assignment requirements
Pulse8 is a stand-alone brand, fully owned by Allscripts, with its own C-level and senior leadership. When you work for Pulse8, you get the advantages and benefits of working with a large, public company with the innovative culture and direction and of a small, nimble company.

At Allscripts, our greatest strength comes from bringing together talented people with diverse perspectives to support the technology needs of 180,000 physicians, 1,500 hospitals and 10,000 post-acute organizations across the globe. Allscripts offers a comprehensive compensation and benefits package, including holidays, vacation, medical, dental, and vision insurance, company paid life insurance and retirement savings.

Allscripts' policy is to provide equal employment opportunity and affirmative action in all of its employment practices without regard to race, color, religion, sex, national origin, ancestry, marital status, protected veteran status, age, individuals with disabilities, sexual orientation or gender identity or expression or any other legally protected category. Applicants for North American based positions with Allscripts must be legally authorized to work in the United States or Canada. Verification of employment eligibility will be required as a condition of hire.

#LI-ALL

From a ""VEVRAA Federal Contractor"" We request Priority Referral of Protected Veterans","Allscripts
3.3","Chicago, IL",5001 to 10000 employees,Company - Public,Computer Hardware & Software
Sr. Process Analyst - Data Privacy Project,60500.0,"Our client is a global leader in software services for the architecture, engineering, media, education, and entertainment industries. They have an immediate need for an experienced Business Process Analyst to assist with the implementation of a new privacy tool. This role will be remote to start and will ultimately be based in the San Rafael location. Responsibilities will include Map and maintain current and future state processes, data flowsdata inventory Drive end-to-end process design and analysis while collaborating with cross-functional teams Make recommendations for process improvements to drive change Help identify, measure, and report on key performance metrics that demonstrate the health and effectiveness of the Privacy program Assist with implementation of privacy tech tools to improve privacy maturity and build scalable processes Serve as the liaison between the business stakeholders and technical teams Understand business problems and translate them into functional and non-functional requirements Dissect high-level information into details and communicate these details in a manner understood by relevant audiences. Qualifications Strong business analysis and process mapping skills Experience collaborating with technical and business teams Process analysis, process documentation, and requirements gathering Experience with common BPM, Project Mgmt tools Experience with Privacy Tools such as OneTrust, TrustArc, Securiti AI, etc.is helpful Certifications CIPPUSECIPM or CIPT or other privacy or risk and compliance-related certifications is a plus, but not required Working knowledge of SQL, databases, and BI tools For immediate consideration, please email your resume in Word format, along with the best time and number to contact you.","The Ascent Services Group
4.6","San Rafael, CA",1001 to 5000 employees,Company - Private,Staffing & Outsourcing
QA Data Analyst,104500.0,"This is an outstanding 2 year contract opportunity with our client, a well-respected market leader, located in Lake Success, NY. Job responsibilities require that the QA Data Analyst meet the critical job demands, including but not limited to, the following key areas:

Confirm the accuracy of initial import of data involving thousands of records

Confirm the accuracy of various data updates and extracts, which involves understanding the logic of complex queries/stored procedures based on requirements, writing appropriate test queries, and executing them to verify the logic and data

Work closely with business partners and the application development team in eliciting project requirements to create test cases

Review requirements specifications and identify gaps and inconsistencies

Work closely with development engineers, business analysts, and other QA team members to identify, report, and troubleshoot defects; verify problem fixes in a detailed, efficient, and timely manner

2+ years(TM) of very strong experience in database testing with the ability to understand, write, and execute very complex SQL queries, and understand the logic of stored procedures

1 + years experience working with T-SQL, or ANSI-89 / ANSI-92.

Intermediate level T-SQL to include thorough understanding of the following concepts:

o Aggregates: COUNT, SUM, MAX/MIN, DISTINCT, GROUP BY, HAVING

o JOIN

o UNION vs UNION ALL

o NULL handling

o Sub queries: IN, EXISTS, and inline views, Correlated Subqueries

o Constraints, Primary keys, foreign keys, defaults

o Error trapping

o Transactions

o Indexing

o Advanced stored procedures and user defined functions programming

o Triggers

Should have at least 3 + years experience in a Software QA role understanding the entire software life cycle and various QA/testing methodologies/techniques

Excellent verbal and written communication skills; Excellent analytical and organizational skills; Strong deductive reasoning

Ability to multi-task and work separate projects in a fast paced & dynamic company environment and extremely tight timelines

Demonstrated ability to work independently with limited direction or as part of a team

THIS POSITION IS OPEN TO W-2 CANDIDATES ONLY. NO THIRD PARTIES PLEASE.","Professional Resource Group
5.0","Lake Success, NY",1 to 50 employees,Company - Private,Advertising & Marketing
Data Statistics Analyst PFK Care Coordination,66000.0,"Full Time/Benefits Eligible
PhD preferred, or on track to obtain PhD within two years*
We are seeking a Data Statistics Analyst that will work alongside clinical Care
Coordination staff in order to further the mission of Partners For Kids (PFK).
PFK is a physician-hospital organization affiliated with Nationwide
Children s Hospital. PFK contracts with the Medicaid managed care plans in
counties in the central and southeast Medicaid regions for approximately
330,000 children. The Data Statistics Analyst will:
Identify and implement measurement methods that assess effectiveness of
various interventions.
Create publications for peer reviewed journals and grant submissions on
best practices
Provide statistical and methodical expertise, critical thinking and
analysis skills

What Will You Be Doing?
Work with Care Coordination teams to develop measures for monitoring
interventions and clinical outcomes to evaluate the effectiveness of the
care coordination program.
Conducts monthly/quarterly and annual regulatory reporting to Health
Plans.
Utilizes existing datasets (Enterprise Data Warehouse, Claims Data
Warehouse, comparative pediatric datasets) to run queries and summarize
output needed for day to day operations of the care coordination program.
Participates in development of care coordination documentation modules in
the Electronic Health Record in order to leverage EHR data in reporting.
Creates controls charts and graphs to visually depict process and outcome
measures.
Tabulates and analyzes population health data by using statistical
techniques in order to assess health status and program effectiveness.
Coordinates the selection and implementation of risk stratification
tools.
Facilitates efforts to improve care coordination through tracking,
trending, data collection, assessment of statistical process charts,
follow up and communication.
Documents measures, designs and develops dashboards for data analysis
using business intelligence tools.
Participates in research, scientific investigation, publication, and
grant writing activities related to care coordination and population
health.
Collaborates with hospital/medical /care coordination staff to
systematically collect and analyze a variety of data, creating and
interpreting data displays, and creating summaries.
Participates in improving decision support through recommending areas or
approaches for improvement activities, performing new procedures,
collecting data and providing input to department discussions.
Participates in research, scientific investigation, publication, and
grant writing activities related to care coordination and population
health.
Ensures that integrity of data being reported is accurate and valid.
What Are We Looking For?
To fulfill this role successfully, you must possess these minimum
qualifications and experience:
Master's Degree in Public Health, Health Services Administration,
Statistics, Quantitative Analysis or Epidemiology or related field. PhD
is preferred, or on track to obtain PhD within two years.
Knowledge of statistical process control principles and at least three
years' experience in extracting and analyzing data via SQL/SAS/SPSS and
business intelligence tools.
Demonstrates the ability to analyze and interpret statistical data.
Experience analyzing claims and reporting on health outcomes is highly
preferred.
Excellent interpersonal and organizational skills necessary to present
and communication important information effectively to all levels of
hospital staff.

Minimum Physical Requirements:
Typing on a keyboard Frequently (34-66%)Talking in person/on the phone
Frequently (34-66%)Standing/walking Frequently (34-66%) The above list of
duties is intended to describe the general nature and level of work
performed by individuals assigned to this classification. It is not to be
construed as an exhaustive list of duties performed by the individual so
classified, nor is it intended to limit or modify the right of any
supervisor to assign, direct, and control the work of employees under
his/her supervision.

EOE/M/F/Disability/Vet","Nationwide Childrens Hospital
3.7","Columbus, OH",10000+ employees,Nonprofit Organization,Health Care Services & Hospitals
Data Analyst - Mid-Level,68500.0,"Location Tempe, AZ Description Our client is currently seeking a Data Analyst - Mid-Level. Candidates should be LOCAL. For immediate consideration please email copy of current resume to Amanda at ajauriguejudge.com. This job will have the following responsibilities Perform physical andor logical data modeling and analysis. Will develop dashboards to track remediation of issues. Required to have strong statistics and data analysis background. Ability to work in a fast-paced, technical, cross-functional environment and be able to produce with minimal direction. Excellent written and verbal communication skills. Qualifications Requirements Data modeling tools, Python, Informatics, Collibra. Data Analysis Experience- A Must Contact ajauriguejudge.com mailtoajauriguejudge.com?subjectData20Analyst20-20Mid-Level This job and many more are available through The Judge Group. Find us on the web at www.judge.com httpwww.judge.com","The Judge Group, Inc.
3.5","Tempe, AZ",1001 to 5000 employees,Company - Private,Staffing & Outsourcing
DPS - FIN - CAPPS Financial Senior Data Analyst,60000.0,"DPS - FIN - CAPPS Financial Senior Data Analyst (00008999)
Organization
: TEXAS DEPARTMENT OF PUBLIC SAFETY
Primary Location
: Texas-Austin
Work Locations
:
AUSTIN HQ (MAIN)
PO BOX 4087 5805 N LAMAR BLVD, AUSTIN TX 78752
Austin 78773
Job
: Computer and Mathematical
Employee Status
: Regular
Schedule
: Full-time Standard Hours Per Week: 40.00
State Job Code: 0256
Salary Admin Plan: B
Grade: 24
Salary (Pay Basis)
: 5,500.00 - 7,000.00 (Monthly)
Number of Openings
: 3
Overtime Status
: Exempt
Job Posting
: Mar 31, 2020, 6:15:34 AM
Closing Date
: Ongoing
Description


THE POSITION WAS RE-OPENED. THOSE WHO HAVE ALREADY APPLIED DO NOT NEED TO REAPPLY.

PLEASE NOTE: All applications must contain complete job histories, which includes job title, dates of employment, name of employer, supervisor's name and phone number and a description of duties performed. If this information is not submitted, your application may be rejected because it is incomplete. Resumes do not take the place of this required information.

SUBMITTED THROUGH WORK IN TEXAS: Work In Texas (WIT) applicants must complete the supplemental questions to be considered for the posting. In order to complete the supplemental questions please go to CAPPS Recruit to register or login and access your profile. Go to CAPPS Recruit to Sign In https://capps.taleo.net/careersection/ex/jobsearch.ftl?lang=en

GENERAL DESCRIPTION
Performs advanced (senior-level) computer systems analysis work related to CAPPS Financials. Work involves coordinating the planning, implementation and analysis of user requirements, procedures, and problems to automate processing or to improve existing systems. May supervise the work of others. Works under minimal supervision, with considerable latitude for the use of initiative and independent judgment.

ESSENTIAL DUTIES / RESPONSIBILITIES:

1. Coordinate the planning, design, development, implementation, support, and maintenance of financial information technology security measures to safeguard departmental information.

2. Coordinate and/or participate in the development and execution of financial enterprise level strategies and technical direction, including establishing processes and procedures for executing and maintaining financial technology road maps.

3. Oversee the query development/deployment as well as identification of errors and production related issues to the financial system.

4. Oversee studies and the preparation of reports that include study findings, recommendations, and instructions for proposed system implementations; formulate logical descriptions of problems; and devise and implement optimum solutions related to the agency financial application.

5. Oversee projects that cross functional agency systems and other state entities that require coordinating, planning, and scheduling during project development and implementation stages.

6. Oversee the preparation of charts, diagrams, and tables that depict the present and proposed systems in terms of costs, benefits derived, and tasks accomplished.

7. Oversee the training of staff prior to the implementation of technical and/or computer systems and offers advice and guidance during the implementation process related to the agency financial systems.

8. Oversee the design and implementation of new or revised methods that effectively meet agency needs.

9. Analyze and define agency disaster recovery responsibilities and procedures related to the agency financial systems.

10. Develop and implement strategic planning actions and policy decisions related to the agency financial systems, and make recommendations concerning the direction related to the agency financial systems.

11. Develop agency financial systems computer operations and management information system plans.

12. Develop, analyze, and revise systems design procedures, program lines of code, test procedures, and quality standards related to the agency financial systems

13. May plan, assign, and/or supervise the work of other as required.

14. Attend work regularly and observe approved work hours in accordance with agency leave and attendance policies.

15. Perform other duties as assigned.
Qualifications


GENERAL QUALIFICATIONS and REQUIREMENTS:

Education – Graduation from an accredited four-year college or university with major course work in computer science, computer information systems, management information systems, or a related field is generally preferred.

Experience – Minimum of three (3) years’ experience in systems analysis and design work performing progressively responsible work in financial systems or closely related activities (advanced query writing or advanced database skills may be substituted year for year.)

Substitution Note: Additional work experience of the type described or other related education may be substituted for one another on a year-for-year basis.

Licensure and/or Certification – If driving is required must possess a valid driver license from state of residence.

Regulatory Knowledge – Working knowledge of, or the ability to rapidly assimilate information related to TXDPS, State and Federal regulations, legislation, guidelines, policies and procedures.

Accounting Knowledge - Analyzing facts, data, and narrative reports. Plan, organize and analyze accounting related to the CAPPS Financials/HR Systems. Analyze problems, identify causative factors and elements in financial system problems, apply actions to effectively resolve, prevent recurrence of problematic conditions, and present alternative solutions that may be effective for problem resolution.

Supervisory/Managerial/Leadership Skills – Knowledge of management and supervisory methods and principles, performance and productivity standards, and financial systems management. Able to develop plans, policies, and procedures for efficient workflow and overall effectiveness. Must exhibit integrity; provide clear direction to subordinates; promote teamwork and be able to motivate others to accomplish goals.

Interpersonal Skills – Must demonstrate an ability to exercise poise, tact, diplomacy and an ability to establish and maintain positive, working/professional relationships with internal/external customers.

Organizational and Prioritization Skills – Must be organized, flexible, and able to effectively prioritize in a multi-demand and constantly changing environment; able to meet multiple and sometimes conflicting deadlines without sacrificing accuracy, timeliness or professionalism.

Presentation/Communication Skills – Must be able to construct and deliver clear, concise, and professional presentations to a variety of audiences and/or individuals.

Research and Comprehension – Skill in coordinating and solving problems; in developing reports or revising reports; in scheduling, testing, installing, and implementing programs; and in troubleshooting computer systems.

Analytical Reasoning/Attention to Detail – Ability to analyze systems and procedures; to write and revise standards and procedures; to handle multiple projects; to communicate effectively; and to plan, assign, and/or supervise the work of others.

Technology – Considerable knowledge of the capabilities and limitations of automated accounting systems (CAPPS) or Business Intelligence reporting systems such as Tableau, Business Objects, Micro strategy or similar systems as a means of processing, recording, and reporting financial transactions. Demonstrated proficiency with Microsoft Office Suite (Word, Excel, PowerPoint, Outlook).

Confidentiality and Protected Information – Must demonstrate an ability to responsibly handle sensitive and confidential information and situations, and adhere to applicable laws/statutes/policies related to access, maintenance and dissemination of information.

Safety – Must be able to work in safe manner at all times, avoiding shortcuts that have potential adverse results/risks, and must be able to comply with safety standards and best practices.

Travel and/or Schedule – Travel up to 10%, weekend work and overtime are required periodically.

PHYSICAL and/or ENVIRONMENTAL DEMANDS:

The physical and environmental demands described here are representative of those encountered and/or necessary for the employee to successfully perform the essential functions of this job; reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
• Environment: Office;
• Ambulatory skills, e.g. stand, walk, sit;
• Hand-eye coordination and arm/hand/finger dexterity;
• Ability to speak, hear, and exercise visual acuity;
• Ability to transfer weights of twenty-five (25) pounds anticipated for this position;
• Driving requirements: Low frequency (five [5%])

State of Texas Benefits and Retirement Information: https://www.ers.texas.gov/

DPS employee who is selected for a position in their current salary group and state title will be transferred with no salary change.

DPS employee who is selected for a position in their current salary group with a new state title may receive an increase up to 3.4%.

Salary is contingent upon qualifications and is subject to salary administration and budgetary restrictions.

DUE TO THE HIGH VOLUME OF APPLICATIONS WE DO NOT ACCEPT TELEPHONE CALLS, ONLY CANDIDATES SELECTED FOR INTERVIEW WILL BE CONTACTED.

State of Texas retirees may be rehired for full-time, non-commissioned positions only under very specific circumstances.","TEXAS DEPARTMENT OF PUBLIC SAFETY
3.4","Austin, TX",1001 to 5000 employees,Government,Municipal Governments
Documentation/Data Analyst,72000.0,"JOB TITLE:Documentation/Data Analyst

GOVERNMENT AGENCY: U.S. Department of Justice - Drug Enforcement Administration

POSITION INFORMATION: Full-Time/ Permanent Position

LOCATION:Pleasanton, CA

SALARY:$52,000 + benefits (401k, PTO, medical, dental, vision)

***Important: Please read the job vacancy carefully before applying. Any key requirement(s) not met will automatically disqualify you as a candidate for this position***

TASKS:
Processing incoming agency property/collection forms from field offices and sending out receipts once case information is entered in the agency database
Contacting customers for corrections or additional information on obligation forms via telephone or e-mail.
Tracking, monitoring and sending out all agency receipt forms.
Monitoring status of agency property disposition forms for permanent transfers
Receiving, reviewing and processing all administrative steps for agency property disposition forms/records
Contacting agency personnel for corrections involving agency property disposition forms
Creating and Sending out required agency reports
Monitoring and responding to email correspondence in the office's designated email inbox
Responding to phone or email queries on case, analysis, and/or destruction status
Maintaining updated contact listings for office customers
Disseminating Backlog Prioritization lists and processing responses
Evaluating and flagging incoming submissions against established program criteria
Administratively closing cases in agency database
Maintaining the File Room filing documents and preparing case records for archival
Monitoring, tracking, updating, and disseminating bulk evidence lists
Other administrative tasks as assigned
REQUIRED:

***Applicants selected will be subject to a Government background investigation and must meet eligibility and suitability requirements***
Knowledge of financial, procurement, property and fleet practices, policies and procedures
Ability to process accounting transactions and invoices
Ability to utilize accounting systems
Knowledge of a variety of documents and transactions related to procurement
Knowledge of and ability to use Excel and Oracle
Ability to communicate in writing to prepare various reports and documents
Ability to communicate orally to provide response to inquiries
Experience with processing invoices
Experience preparing requisitions
Experience dealing with vendors
Experience performing receptionist duties
Experience with time and attendance sheets
Benefits:

Health, Dental and Vision, 401(k), Flexible Spending Account (FSA), 11 Paid Federal Holidays, PTO

IT Coalition, Inc. is an information technology and consulting company focused on servicing the needs of the Federal Government. IT Coalition's mission is to apply earned expertise in information technology and information assurance/security to assist this client in achieving its mission. IT Coalition is located in Alexandria, VA and offers outstanding compensation and benefits plan and a challenging and rewarding professional work environment.

IT Coalition, Inc. is an equal opportunity/affirmative action employer and will not discriminate against any application for employment on the basis of age, race, color, gender, national origin, religion, creed, disability, veteran status, marital status, sexual orientation, genetic information, military status, disability, or sex including pregnancy and childbirth or related medical condition or on any other basis prohibited by law.","IT Coalition
4.3","Pleasanton, CA",1 to 50 employees,Company - Private,Accounting
TSDS Data QA Analyst (Data Analyst IV),78500.0,"TSDS Data QA Analyst (Data Analyst IV) (00010062)
Organization
: TEXAS EDUCATION AGENCY
Primary Location
: Texas-Austin
Work Locations
:
Texas Education Agency
1701 NORTH CONGRESS AVENUE
Austin 78701
Job
: Computer and Mathematical
Employee Status
: Regular
Schedule
: Full-time Standard Hours Per Week: 40.00
State Job Code: 0653
Salary Admin Plan: B
Grade: 24
Salary (Pay Basis)
: 4,917.00 - 6,666.67 (Monthly)
Number of Openings
: 1
Overtime Status
: Exempt
Job Posting
: Jun 30, 2020, 1:44:41 PM
Closing Date
: Ongoing
Description


MISSION: The Texas Education Agency (TEA) will improve outcomes for all public-school students in the state by providing
leadership, guidance,
and support to school systems.
POSITION OVERVIEW: This position serves as the Texas Student Data System (TSDS) Data
Quality Assurance (QA) Analyst in the Information Technology Services – Business
Management Division of the Texas Education Agency (TEA). The TSDS Data QA Analyst
performs highly complex (senior-level) computer systems analysis and data
quality assurance tasks associated with the TSDS application and its relational repositories through development and
maintenance of SAS programs and other application tools to analyze and
validate data passing through the TSDS application into final repositories as
well as conducting impact analyses of changes to each TSDS collection to modify
relational objects as necessary. This
position is responsible for analyzing, creating, and maintaining TSDS data
views and data documentation, ad hoc programming requests, and providing
customer support to the TEA data user community.


Please note that a resume and tailored cover letter are required attachments for applying
to this
position. Incomplete applications will not be considered.

Applicants who are strongly being considered for employment
must submit to a national criminal history background check.

ESSENTIAL FUNCTIONS:

Develop,
maintain, and execute computer application programs to analyze and validate
data integrity for all TSDS data collections based on evolving Texas Education
Data Standards (TEDS) and TSDS data models as well as continuously improved
programming skills. Evaluate any data
anomalies and devise solutions, if necessary, then succinctly and thoroughly
convey findings to the Data Quality and Policy Manager and other Business
Management Division staff as appropriate.
Maintain
and update TSDS code reference tables based on annual changes to TEDS.
Create
data views through development and maintenance of Data Definition Language
(SQL|DDL) scripts updated annually according to revisions to TEDS and to TSDS
data models. Coordinate implementation
with Database Administration personnel.
Develop
and maintain TSDS data documentation for all collections based on annual
changes to TEDS. Provide technical
support as a high-level resource for problem resolution, including reported
data anomalies, to TEA TSDS data user community while following established
Business Management Division guidelines.
Produce
ad hoc reports and special data analyses as required by the Business
Management Division.

Qualifications
MINIMUM QUALIFICATIONS:


Education:

Graduation from an accredited four-year college or university

Experience:
At least three (3) years of experience in computer systems
analysis or design

Substitutions:

Each additional year of related experience above the required minimum may
substitute for education on a year-for-year basis

OTHER QUALIFICATIONS:
Knowledge of
relational database structures and access methods.
Experience in systems
analysis and design work.
Skill in SAS
programming language and data analysis techniques, including analyzing data
for compliance with business rules.
Ability to maintain
good working relationships with a variety of people and groups.
Ability to
manage multiple, simultaneous tasks, develop solutions, and meet deadlines in
a fast-paced environment in a positive and patient manner.
Ability to
process information logically with strong attention to detail.
Ability to
analyze technical documentation.
A desire to
self-reflect, give and receive feedback, and continuously improve.
Ability to
express ideas clearly, both verbally and in writing.
Perform other
related duties or tasks as assigned.
May need to work
outside normal work hours to accommodate other duties and tasks assigned.
As an equal opportunity employer, we hire
without consideration to race, religion, color, national origin, sex,
disability, age or veteran status, unless an
applicant is entitled to the veteran’s preference.

Additional Military Crosswalk (occupational
specialty code) information can be accessed here.

This position requires the applicant
to meet Agency standards and criteria which may include passing a
pre-employment criminal background check, prior to being offered employment by
the Agency.

No phone calls or emails, please. Due to the high volume
of applications, we do not accept telephone calls and cannot reply to all
email inquiries. Only candidates selected for interview will be contacted.","TEXAS EDUCATION AGENCY
2.8","Austin, TX",501 to 1000 employees,Government,State & Regional Agencies
Financial Data Analyst,98000.0,"About the company

Robinhood is democratizing finance for all. With customers at the heart of our decisions, Robinhood is lowering barriers, removing fees, and providing greater access to financial information. Together, we are building products and services that help create a financial system everyone can participate in.

Robinhood is a fast-growing company and was recognized as a CNBC Disruptor 50 and a LinkedIn Top Startup in 2019. We're continuing to grow and are looking for incredible talent that can help us achieve our mission.

Robinhood is headquartered in Menlo Park, California, with offices in Lake Mary, Florida, Denver, Colorado, and London, UK.

About the role

Robinhood is looking for a skilled Financial Data Analyst to join our rapidly growing Finance and Accounting team. We are seeking a driven individual who can thrive in a fast-paced environment and can manage multiple priorities – a self-starter who can work independently but who is also a good team-player. This role will report to the Corporate Accounting Senior Manager and will need to be able to pick things up quickly and be able to meet deadlines with multiple tasks.

Your day-to-day will involve:
Work with Accounting and cross-functionally to ensure the continued accuracy of financial data used for accounting close entries and financial reporting
Work with Accounting and Business Automation teams to help with the automation of high volume transactions into the accounting books and records
Provide general financial data support to other key stakeholders within the Finance team, including Payroll and Stock Administration
Work with Accounting and engineering teams to understand new product requirements and ensure necessary data for financial reporting is built into the product from day one
Perform analysis of datasets, build accurate data maps, and conduct regular data validation to support the Company's control framework
Ensure the development of an automated reporting process that covers metrics as well as financial results, and connects the two in an appropriate and accurate manner
Some things we consider critical for this role:
BA/BS with 4+ years of experience in finance, accounting, business, consulting, or analytics
Proficiency in SQL with 2+ years of working with large data sets
Strong analytical and organizational skills
Experience with system implementations & integrations
Experience with Looker
Experience with Oracle Fusion
Feeling ready to give 100% to democratizing finance for all? We'd love to have you apply, even if you feel unsure about whether you meet every single requirement in this posting. At Robinhood, we're looking for people invigorated by our mission, not just those who simply check off all the boxes.","Robinhood
4.7","Menlo Park, CA",501 to 1000 employees,Company - Private,Brokerage Services
Clinical Data Analyst,39500.0,"SoluStaff is actively recruiting for a full-time Clinical Data Analyst for our client in Brooklyn.

Develop databases and conducting analyses of clinical data
Develop reports and statistical information to be used by management, administrative and/or medical and professional staff.
Develop, maintain and modify data processing, software programs and report forms.

Bachelor’s Degree
Minimum of 2 years’ experience required in developing epidemiologic studies or statistical analyses of clinical data using automated information (may be waived for Masters degree).
Excellent time management, organizational and communication skills, both written and verbal.
Ability to manage and report on many concurrent activities.
Ability to work independently.",SoluStaff,"Brooklyn, NY",1 to 50 employees,Company - Private,IT Services
